Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",122.174000,-88.646000,0.000000,top
"C2","10uF","C_0805_2012Metric",122.174000,-82.423000,180.000000,top
"R1","300","R_0603_1608Metric",118.110000,-78.740000,0.000000,top
"R2","150","R_0603_1608Metric",118.110000,-80.772000,0.000000,top
"R3","300","R_0603_1608Metric",118.110000,-82.804000,0.000000,top
"R4","150","R_0603_1608Metric",118.110000,-84.836000,0.000000,top
"R5","300","R_0603_1608Metric",118.110000,-86.868000,0.000000,top
"R6","150","R_0603_1608Metric",118.110000,-88.900000,0.000000,top
"R7","4k7","R_0603_1608Metric",109.791000,-88.900000,0.000000,top
"R8","4k7","R_0603_1608Metric",114.046000,-88.900000,0.000000,top
"R9","4k7","R_0603_1608Metric",105.855000,-78.740000,0.000000,top
"R10","4k7","R_0603_1608Metric",105.855000,-80.772000,180.000000,top
"R11","4k7","R_0603_1608Metric",105.855000,-82.804000,180.000000,top
"R12","4k7","R_0603_1608Metric",105.855000,-84.836000,180.000000,top
"R13","4k7","R_0603_1608Metric",105.855000,-86.868000,180.000000,top
"R14","4k7","R_0603_1608Metric",105.855000,-88.900000,180.000000,top
"U1","74LVC1G17","SOT-353_SC-70-5",109.794000,-79.502000,180.000000,top
"U2","74LVC1G17","SOT-353_SC-70-5",113.980000,-79.502000,180.000000,top
"U3","74LVC1G17","SOT-353_SC-70-5",109.794000,-82.804000,180.000000,top
"U4","74LVC1G17","SOT-353_SC-70-5",114.046000,-82.804000,180.000000,top
"U5","74LVC1G17","SOT-353_SC-70-5",109.794000,-86.106000,180.000000,top
"U6","74LVC1G17","SOT-353_SC-70-5",114.046000,-86.106000,180.000000,top
"U7","74LVC1G86","SOT-353_SC-70-5",122.174000,-79.502000,180.000000,top
"U8","MIC5504-3.3YM5","SOT-23-5",122.428000,-85.598000,180.000000,top
